fecha,hora,precio_real,precio_predicho,error
2025-01-01,0,17.3103,67.14,-49.83
2025-01-01,1,17.3103,65.19,-47.88
2025-01-01,2,17.3103,64.21,-46.9
2025-01-01,3,17.3103,63.66,-46.35
2025-01-01,4,2.5689,64.47,-61.9
2025-01-01,5,2.5689,66.7,-64.13
2025-01-01,6,2.5839,71.52,-68.94
2025-01-01,7,2.5839,82.49,-79.91
2025-01-01,8,2.5839,85.96,-83.38
2025-01-01,9,2.5839,89.9,-87.32
2025-01-01,10,2.5839,97.78,-95.2
2025-01-01,11,2.5839,96.62,-94.04
2025-01-01,12,23.0044,100.64,-77.64
2025-01-01,13,23.0044,99.57,-76.57
2025-01-01,14,23.0044,99.94,-76.94
2025-01-01,15,23.0044,100.06,-77.06
2025-01-01,16,35.7504,99.69,-63.94
2025-01-01,17,38.9486,99.3,-60.35
2025-01-01,18,53.6361,106.61,-52.97
2025-01-01,19,60.4083,110.99,-50.58
2025-01-01,20,122.5344,97.39,25.14
2025-01-01,21,122.5344,87.02,35.51
2025-01-01,22,56.3417,77.28,-20.94
2025-01-01,23,56.3417,68.91,-12.57
2025-01-02,0,17.3161,65.98,-48.66
2025-01-02,1,10.4751,64.07,-53.59
2025-01-02,2,10.4751,63.08,-52.6
2025-01-02,3,11.3958,62.49,-51.09
2025-01-02,4,11.3958,63.21,-51.81
2025-01-02,5,17.9082,65.18,-47.27
2025-01-02,6,18.0174,69.64,-51.62
2025-01-02,7,40.7629,79.42,-38.66
2025-01-02,8,40.7629,82.26,-41.5
2025-01-02,9,54.0516,85.97,-31.92
2025-01-02,10,54.0516,94.5,-40.45
2025-01-02,11,54.0516,92.66,-38.61
2025-01-02,12,56.7693,97.78,-41.01
2025-01-02,13,56.7693,96.06,-39.29
2025-01-02,14,56.7693,97.22,-40.45
2025-01-02,15,56.7693,97.33,-40.56
2025-01-02,16,56.7693,97.04,-40.27
2025-01-02,17,56.7693,96.79,-40.02
2025-01-02,18,56.7663,104.73,-47.96
2025-01-02,19,56.7663,109.86,-53.09
2025-01-02,20,56.7663,94.43,-37.66
2025-01-02,21,56.7663,83.26,-26.49
2025-01-02,22,40.5327,74.83,-34.3
2025-01-02,23,9.8857,67.66,-57.77
2025-01-03,0,2.1255,66.93,-64.8
2025-01-03,1,2.1255,65.21,-63.08
2025-01-03,2,2.1255,64.38,-62.25
2025-01-03,3,2.1255,63.96,-61.83
2025-01-03,4,2.1255,64.78,-62.65
2025-01-03,5,2.1255,66.81,-64.68
2025-01-03,6,1.512,71.14,-69.63
2025-01-03,7,9.9446,80.52,-70.58
2025-01-03,8,9.9446,83.28,-73.34
2025-01-03,9,9.9446,86.72,-76.78
2025-01-03,10,9.9446,94.11,-84.17
2025-01-03,11,9.9446,92.54,-82.6
2025-01-03,12,12.0625,96.0,-83.94
2025-01-03,13,23.1227,94.99,-71.87
2025-01-03,14,23.1227,95.03,-71.91
2025-01-03,15,62.8239,94.81,-31.99
2025-01-03,16,62.8239,94.26,-31.44
2025-01-03,17,60.2743,93.79,-33.52
2025-01-03,18,60.1945,99.96,-39.77
2025-01-03,19,60.1945,103.88,-43.69
2025-01-03,20,60.1945,91.43,-31.24
2025-01-03,21,60.1945,82.43,-22.24
2025-01-03,22,60.1404,75.13,-14.99
2025-01-03,23,40.7304,68.46,-27.73
2025-01-04,0,20.2479,64.43,-44.18
2025-01-04,1,4.3635,63.04,-58.68
2025-01-04,2,4.3635,62.28,-57.92
2025-01-04,3,4.3635,61.82,-57.46
2025-01-04,4,4.3635,62.3,-57.94
2025-01-04,5,4.3635,63.48,-59.12
2025-01-04,6,9.9491,66.37,-56.42
2025-01-04,7,12.9742,71.97,-59.0
2025-01-04,8,14.2631,73.01,-58.75
2025-01-04,9,14.2631,75.19,-60.93
2025-01-04,10,7.3638,81.4,-74.04
2025-01-04,11,7.3638,76.55,-69.19
2025-01-04,12,6.6885,77.65,-70.96
2025-01-04,13,4.5944,77.84,-73.25
2025-01-04,14,2.8535,76.33,-73.48
2025-01-04,15,2.8535,75.75,-72.9
2025-01-04,16,2.8535,75.31,-72.46
2025-01-04,17,2.8535,75.15,-72.3
2025-01-04,18,23.1178,79.8,-56.68
2025-01-04,19,23.1178,83.49,-60.37
2025-01-04,20,23.1178,73.53,-50.41
2025-01-04,21,23.1178,68.6,-45.48
2025-01-04,22,2.1302,68.81,-66.68
2025-01-04,23,1.5747,65.55,-63.98
2025-01-05,0,2.5735,54.96,-52.39
2025-01-05,1,2.5735,53.02,-50.45
2025-01-05,2,2.5735,51.5,-48.93
2025-01-05,3,2.5735,50.16,-47.59
2025-01-05,4,0.6429,49.6,-48.96
2025-01-05,5,2.5735,49.67,-47.1
2025-01-05,6,2.8575,51.18,-48.32
2025-01-05,7,2.5972,55.56,-52.96
2025-01-05,8,2.5972,55.97,-53.37
2025-01-05,9,2.5972,57.41,-54.81
2025-01-05,10,2.5972,62.04,-59.44
2025-01-05,11,2.5972,57.93,-55.33
2025-01-05,12,2.5972,58.89,-56.29
2025-01-05,13,2.5972,60.24,-57.64
2025-01-05,14,2.8575,59.66,-56.8
2025-01-05,15,22.7238,60.36,-37.64
2025-01-05,16,60.2381,61.18,-0.94
2025-01-05,17,56.7828,62.2,-5.42
2025-01-05,18,56.7717,67.15,-10.38
2025-01-05,19,56.7717,71.15,-14.38
2025-01-05,20,56.7717,63.5,-6.73
2025-01-05,21,56.7717,59.93,-3.16
2025-01-05,22,56.4146,60.53,-4.12
2025-01-05,23,59.8475,56.49,3.36
2025-01-06,0,4.3521,59.29,-54.94
2025-01-06,1,4.3521,57.42,-53.07
2025-01-06,2,4.3521,56.46,-52.11
2025-01-06,3,4.3521,55.92,-51.57
2025-01-06,4,12.3944,56.65,-44.26
2025-01-06,5,12.3944,58.69,-46.3
2025-01-06,6,35.1028,63.15,-28.05
2025-01-06,7,87.5267,74.1,13.43
2025-01-06,8,87.5267,77.4,10.13
2025-01-06,9,87.5267,81.29,6.24
2025-01-06,10,87.5267,89.32,-1.79
2025-01-06,11,87.5267,88.2,-0.67
2025-01-06,12,87.5267,92.49,-4.96
2025-01-06,13,87.5267,91.62,-4.09
2025-01-06,14,87.5267,92.14,-4.61
2025-01-06,15,87.5267,92.38,-4.85
2025-01-06,16,87.5267,92.06,-4.53
2025-01-06,17,87.5267,91.68,-4.15
2025-01-06,18,79.4243,99.09,-19.67
2025-01-06,19,79.4243,103.52,-24.1
2025-01-06,20,79.4243,89.29,-9.87
2025-01-06,21,79.4243,78.94,0.48
2025-01-06,22,60.124,69.53,-9.41
2025-01-06,23,60.124,61.0,-0.88
2025-01-07,0,60.1569,65.47,-5.31
2025-01-07,1,87.4115,63.76,23.65
2025-01-07,2,56.7062,63.0,-6.29
2025-01-07,3,56.7062,62.67,-5.96
2025-01-07,4,56.7062,63.65,-6.94
2025-01-07,5,56.7062,65.92,-9.21
2025-01-07,6,56.8479,70.68,-13.83
2025-01-07,7,87.4145,81.12,6.29
2025-01-07,8,87.4145,84.26,3.15
2025-01-07,9,87.4145,88.12,-0.71
2025-01-07,10,87.4145,96.56,-9.15
2025-01-07,11,87.4145,94.74,-7.33
2025-01-07,12,87.4145,99.13,-11.72
2025-01-07,13,87.4145,97.57,-10.16
2025-01-07,14,87.4145,97.91,-10.5
2025-01-07,15,87.4145,97.64,-10.23
2025-01-07,16,87.4145,96.96,-9.55
2025-01-07,17,87.4145,96.31,-8.9
2025-01-07,18,87.3577,103.6,-16.24
2025-01-07,19,87.3577,108.15,-20.79
2025-01-07,20,87.3577,93.34,-5.98
2025-01-07,21,87.3577,82.81,4.55
2025-01-07,22,56.7062,74.34,-17.63
2025-01-07,23,60.1569,67.0,-6.84
2025-01-08,0,60.1616,67.14,-6.98
2025-01-08,1,56.7107,65.19,-8.48
2025-01-08,2,56.7107,64.21,-7.5
2025-01-08,3,56.7107,63.66,-6.95
2025-01-08,4,56.7107,64.47,-7.76
2025-01-08,5,56.7107,66.7,-9.99
2025-01-08,6,87.5625,71.52,16.04
2025-01-08,7,87.5625,82.49,5.07
2025-01-08,8,87.5625,85.96,1.6
2025-01-08,9,87.5625,89.9,-2.34
2025-01-08,10,87.5625,97.78,-10.22
2025-01-08,11,87.5625,96.62,-9.06
2025-01-08,12,87.5625,100.64,-13.08
2025-01-08,13,87.5625,99.57,-12.01
2025-01-08,14,87.5625,99.94,-12.38
2025-01-08,15,87.5625,100.06,-12.5
2025-01-08,16,87.5625,99.69,-12.13
2025-01-08,17,87.5625,99.3,-11.74
2025-01-08,18,87.5273,106.61,-19.08
2025-01-08,19,122.9357,110.99,11.95
