variable,coeficiente
num_escalado__precio_tip_mes_hora,0.1520252492041776
num_escalado__precio_tip_mes_hora cat_encoded__estacion_seca,0.0683821122206628
num_escalado__precio_tip_hora,0.06147491000581891
remainder__mes_sin remainder__finde,-0.05518546180812752
cat_encoded__dia_sem_6^2,-0.05227021797618616
cat_encoded__dia_sem_6 remainder__finde,-0.05227021797618614
cat_encoded__dia_sem_6,-0.05227021797618602
remainder__hora_cos,-0.04763316799884614
num_escalado__precio_tip_mes_hora cat_encoded__grupo_hora_valle,0.044374262354464955
cat_encoded__estacion_seca,0.0441724132232986
cat_encoded__estacion_seca^2,0.04417241322329844
remainder__finde^2,-0.04264175003456312
remainder__finde,-0.04264175003456309
cat_encoded__dia_sem_6 remainder__mes_sin,-0.04151354958893856
cat_encoded__dia_sem_1 remainder__mes_sin,0.04146202808251495
num_escalado__precio_tip_hora remainder__mes_sin,-0.036441535502646005
num_escalado__precio_tip_mes_hora remainder__finde,0.035769142093420796
cat_encoded__dia_sem_6 remainder__hora_cos,0.03529860668857322
remainder__mes_cos,-0.035203328900489016
num_escalado__precio_tip_hora remainder__finde,-0.03425979228440678
cat_encoded__estacion_seca remainder__mes_cos,-0.03272923025269384
num_escalado__precio_tip_mes_hora^2,-0.02968776146539816
cat_encoded__dia_sem_2 remainder__mes_sin,0.02896212293682761
cat_encoded__dia_sem_3^2,0.028688745956687085
cat_encoded__dia_sem_3,0.028688745956687033
remainder__hora_sin,-0.02747135557264924
num_escalado__precio_tip_hora num_escalado__precio_tip_mes_hora,-0.027224094403651852
remainder__hora_cos remainder__finde,0.02601934157525744
cat_encoded__dia_sem_6 remainder__hora_sin,-0.02489473611979682
num_escalado__precio_tip_mes_hora remainder__pico_finde,0.022490599980462562
num_escalado__precio_tip_hora cat_encoded__dia_sem_5,-0.02195847940960583
num_escalado__precio_tip_mes_hora cat_encoded__dia_sem_5,0.0209046574661819
num_escalado__precio_tip_mes_hora cat_encoded__dia_sem_4,0.020166136113615413
num_escalado__precio_tip_mes_hora cat_encoded__grupo_hora_pico,0.019833216331959388
num_escalado__precio_tip_hora cat_encoded__grupo_hora_valle,0.018730843972130325
remainder__mes_cos remainder__finde,-0.018171290616401076
cat_encoded__estacion_seca remainder__mes_sin,0.018100846831062358
cat_encoded__dia_sem_5 remainder__hora_sin,0.01553880594539174
cat_encoded__dia_sem_5 cat_encoded__grupo_hora_valle,0.015077649719339389
remainder__hora_sin remainder__mes_sin,0.01505577400376309
num_escalado__precio_tip_mes_hora cat_encoded__dia_sem_6,0.01486448462723774
cat_encoded__estacion_seca remainder__hora_cos,-0.0148319446297725
num_escalado__precio_tip_hora cat_encoded__grupo_hora_pico,0.014719157235382863
num_escalado__precio_tip_mes_hora remainder__hora_cos,0.014649120895898376
remainder__hora_sin remainder__mes_cos,0.014307660549462156
remainder__mes_sin remainder__pico_finde,-0.01394374318339416
cat_encoded__dia_sem_1^2,0.01393674227337027
cat_encoded__dia_sem_1,0.013936742273370233
cat_encoded__dia_sem_5 remainder__mes_sin,-0.013671912219186835
cat_encoded__dia_sem_6 remainder__pico_finde,-0.013476083567833365
cat_encoded__dia_sem_6 remainder__mes_cos,-0.01301456842088233
cat_encoded__dia_sem_4,0.012515803498310154
cat_encoded__dia_sem_4^2,0.012515803498310137
num_escalado__precio_tip_hora cat_encoded__dia_sem_6,-0.012301312874800909
cat_encoded__grupo_hora_pico remainder__hora_sin,-0.012296665176804906
cat_encoded__dia_sem_1 remainder__hora_sin,0.012117794213140697
remainder__mes_cos remainder__pico_finde,-0.011627450970565672
remainder__finde remainder__pico_finde,-0.011496117628391112
remainder__pico_finde^2,-0.01149611762839111
remainder__pico_finde,-0.011496117628391068
cat_encoded__grupo_hora_valle remainder__mes_sin,0.011381089007339466
cat_encoded__dia_sem_3 remainder__mes_sin,-0.011149613112447582
cat_encoded__estacion_seca remainder__finde,0.011106101443172098
cat_encoded__grupo_hora_valle,-0.010902793702401794
cat_encoded__grupo_hora_valle^2,-0.010902793702401783
cat_encoded__grupo_hora_pico remainder__pico_finde,-0.010823162245067177
cat_encoded__grupo_hora_pico remainder__finde,-0.010823162245067176
cat_encoded__dia_sem_1 remainder__mes_cos,0.01077502798518354
cat_encoded__grupo_hora_pico^2,0.01049465231824777
cat_encoded__grupo_hora_pico,0.010494652318247694
cat_encoded__grupo_hora_valle remainder__finde,0.010461889773128327
remainder__hora_cos remainder__pico_finde,0.010378968844636864
num_escalado__precio_tip_mes_hora remainder__hora_sin,0.010301214160668546
cat_encoded__estacion_seca cat_encoded__grupo_hora_valle,0.010171678755470006
cat_encoded__dia_sem_6 cat_encoded__grupo_hora_pico,-0.010132144920435685
num_escalado__precio_tip_mes_hora remainder__mes_sin,0.010024673045419432
cat_encoded__dia_sem_3 cat_encoded__grupo_hora_pico,0.009831743649409011
remainder__hora_sin remainder__pico_finde,0.009819753475737074
cat_encoded__dia_sem_5 remainder__finde,0.009628467941624447
cat_encoded__dia_sem_5^2,0.009628467941624435
cat_encoded__dia_sem_5,0.00962846794162442
cat_encoded__dia_sem_3 cat_encoded__grupo_hora_valle,0.009628452244415294
cat_encoded__grupo_hora_valle remainder__hora_cos,-0.009493496451049757
remainder__hora_sin remainder__finde,-0.009355930174405065
remainder__hora_cos remainder__mes_sin,0.009335527026159028
cat_encoded__dia_sem_5 remainder__hora_cos,-0.009279265113315942
cat_encoded__estacion_seca remainder__pico_finde,0.009205827188845314
cat_encoded__grupo_hora_valle remainder__hora_sin,-0.00917461528412637
cat_encoded__dia_sem_1 cat_encoded__grupo_hora_valle,0.00858984313189381
cat_encoded__dia_sem_4 remainder__mes_cos,-0.008562629091733671
cat_encoded__dia_sem_4 cat_encoded__grupo_hora_valle,0.00847607474795042
cat_encoded__dia_sem_2 remainder__hora_sin,0.008414275037503033
num_escalado__precio_tip_mes_hora remainder__mes_cos,0.008404660914183673
num_escalado__precio_tip_hora remainder__mes_cos,-0.008226980318504714
cat_encoded__dia_sem_4 cat_encoded__estacion_seca,-0.007939958404640868
remainder__hora_sin remainder__hora_cos,-0.007721442488766743
num_escalado__precio_tip_mes_hora cat_encoded__dia_sem_3,0.007664017554360535
cat_encoded__dia_sem_5 cat_encoded__estacion_seca,0.00722282246617281
num_escalado__precio_tip_hora cat_encoded__dia_sem_3,0.006917539667376283
cat_encoded__grupo_hora_valle remainder__mes_cos,0.006648424074107311
remainder__hora_cos^2,0.006607699286657033
remainder__hora_sin^2,-0.006607699286657031
num_escalado__precio_tip_hora cat_encoded__dia_sem_4,-0.006547898088459767
cat_encoded__dia_sem_2 remainder__hora_cos,-0.0064116165589065185
cat_encoded__dia_sem_1 remainder__hora_cos,-0.0062657972538525085
cat_encoded__estacion_seca cat_encoded__grupo_hora_pico,0.0060689097953819686
num_escalado__precio_tip_hora cat_encoded__dia_sem_2,0.00589707029557007
cat_encoded__dia_sem_2,0.005775648904550408
cat_encoded__dia_sem_2^2,0.005775648904550399
cat_encoded__dia_sem_2 cat_encoded__grupo_hora_pico,-0.005758941960900846
num_escalado__precio_tip_hora remainder__pico_finde,-0.005629669599797147
num_escalado__precio_tip_hora cat_encoded__dia_sem_1,-0.0054984118138645096
cat_encoded__dia_sem_4 remainder__hora_sin,0.005458566028660854
cat_encoded__dia_sem_1 cat_encoded__estacion_seca,0.00540499157886764
num_escalado__precio_tip_hora remainder__hora_cos,0.0052684577793313
cat_encoded__dia_sem_5 remainder__mes_cos,-0.005156722195519405
cat_encoded__dia_sem_2 remainder__mes_cos,0.005125931135779418
num_escalado__precio_tip_mes_hora cat_encoded__dia_sem_1,-0.005036950370109894
remainder__mes_sin,-0.004620931451236056
cat_encoded__dia_sem_6 cat_encoded__grupo_hora_valle,-0.004615759946210897
cat_encoded__grupo_hora_pico remainder__hora_cos,0.0045937125126407265
cat_encoded__dia_sem_4 remainder__hora_cos,-0.00442787164038413
remainder__hora_cos remainder__mes_cos,-0.004382588909833425
remainder__mes_sin remainder__mes_cos,-0.00404102029810611
cat_encoded__dia_sem_6 cat_encoded__estacion_seca,0.003883278976999112
num_escalado__precio_tip_hora remainder__hora_sin,-0.003664940022596992
cat_encoded__grupo_hora_pico remainder__mes_sin,-0.003481447092663543
cat_encoded__dia_sem_3 remainder__hora_cos,-0.0034454366569945227
num_escalado__precio_tip_mes_hora cat_encoded__dia_sem_2,0.003368883831844994
cat_encoded__dia_sem_2 cat_encoded__estacion_seca,0.0032052983116101557
num_escalado__precio_tip_hora cat_encoded__estacion_seca,0.0030836721797364644
remainder__mes_sin^2,-0.002858733446009521
remainder__mes_cos^2,0.0028587334460095045
cat_encoded__grupo_hora_pico remainder__mes_cos,0.0022640867113034864
cat_encoded__dia_sem_5 remainder__pico_finde,0.0019799659394422334
num_escalado__precio_tip_hora^2,0.0019521151915932059
cat_encoded__dia_sem_4 remainder__mes_sin,-0.0018337032246127666
cat_encoded__dia_sem_4 cat_encoded__grupo_hora_pico,-0.0016635439075180626
cat_encoded__dia_sem_3 cat_encoded__estacion_seca,-0.0015725393957470957
cat_encoded__dia_sem_3 remainder__hora_sin,-0.0010442699790554496
cat_encoded__dia_sem_1 cat_encoded__grupo_hora_pico,-0.0009304423882449023
cat_encoded__dia_sem_3 remainder__mes_cos,0.0008564453011064965
cat_encoded__dia_sem_5 cat_encoded__grupo_hora_pico,-0.0006910173246311829
cat_encoded__dia_sem_2 cat_encoded__grupo_hora_valle,-0.0003726248256287268
cat_encoded__estacion_seca remainder__hora_sin,1.1642024441011182e-05
